MAG	Depth_m	Zone	Estimated_Genome_Size	Cluster_Representative	Total_CDS	Total_KOs	Unique_KOs	TKO_Density	UKO_Density	CDS_Density	Quality	Completeness	Contamination	Strain.heterogeneity	Domain	Phylum	Class	Order	Family	Genus	Species	Contigs	Bases	Max	N50	N90	Sample	Count_of_Unique_Defense_Systems	Count_of_Unique_Genes_in_Systems	List_of_Defense_SubSystems_in_Genome	List_of_Unique_Genes_in_Systems	DS_Prevalence_per_Mbp	DS_Gene_Prevalence_per_PEG_Perc	Virus_List	Virus_Regions	Prophage_Count	Prophage_Base_Pairs	Prophage_Perc
Bin_S10.33	3300	Bathypelagic	2573130.80855019	FALSE	1874	1300	1013	58.6920433002807	45.7346460486033	84.6068378036354	77.83	86.08	2.75	66.67	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	GCA-002701945	GCA-002701945 sp012964215	203	2214951	74715	21819	3939	MP0532	2	2	Defense_System|PsyrTA|PsyrTA	Bin_S10.33_00640,Bin_S10.33_00645	0.902954512312011	0.106723585912487	set()	[]	0	0	0
Bin_S10.38	3300	Bathypelagic	7043953.722334	FALSE	3584	2688	1955	63.9845523009445	46.5363838349503	85.3127364012593	59.64	59.64	0	0	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas australica	173	4201014	227444	52202	9203	MP0532	4	5	Defense_System|dGTPase|dGTPase,Defense_System|CBASS|CBASS_II,Defense_System|RM|RM_Type_IV	Bin_S10.38_01963,Bin_S10.38_02825,Bin_S10.38_02824,Bin_S10.38_02826,Bin_S10.38_02183	0.952151075906912	0.139508928571429	set()	[]	0	0	0
Bin_S10.39	3300	Bathypelagic	3354902.15973329	TRUE	2453	1520	1207	65.6715979411954	52.1484333651466	105.981861677469	59.96	68.99	3.01	61.54	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter_A	Erythrobacter_A sp002895025	454	2314547	41348	5497	2916	MP0532	2	3	Defense_System|Gabija|Gabija	Bin_S10.39_02002,Bin_S10.39_02000,Bin_S10.39_02003	0.864099972910466	0.122299225438239	{'MP0532_18348', 'MP0532_6553'}	['S10CMP0532_Scaffold_6553|0|6807', 'S10CMP0532_Scaffold_18348|0|3397']	2	10204	0.44086380617892
Bin_S10.4	3300	Bathypelagic	2069864.02000625	FALSE	1284	1034	895	78.079044082945	67.5829250040965	96.9569560952625	56.75	63.98	2.41	0	Bacteria	Gammaproteobacteria	Gammaproteobacteria	SAR86	SAR86	AEGEAN-183	AEGEAN-183 sp012965075	142	1324299	49201	13935	3881	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.40	3300	Bathypelagic	1239678.16386716	FALSE	1008	763	703	78.9181082408916	72.712228169524	104.258785198976	69.05	77.99	2.98	0	Bacteria	Desulfobacterota_D	UBA1144	UBA1144	UBA1144	UBA1144	UBA1144 sp002311855	85	966825	42044	17055	5104	MP0532	3	4	Defense_System|Borvo|Borvo,Defense_System|Lamassu-Fam|Lamassu-Fam	Bin_S10.40_00496,Bin_S10.40_01033,Bin_S10.40_00502,Bin_S10.40_00501	3.10294003568381	0.396825396825397	{'MP0532_17041'}	['S10CMP0532_Scaffold_17041|0|3568']	1	3568	0.369043001577328
Bin_S10.41	3300	Bathypelagic	1976657.41871046	FALSE	1618	1146	945	64.3398762383742	53.0551335473504	90.839371512818	83.51	90.11	2.2	0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp012964665	141	1781166	58866	21768	4672	MP0532	2	2	Defense_System|PsyrTA|PsyrTA	Bin_S10.41_00169,Bin_S10.41_00165	1.12285996925609	0.123609394313968	set()	[]	0	0	0
Bin_S10.42	3300	Bathypelagic	2813248.8392521	FALSE	2204	1641	1306	73.1975602597465	58.2547310781407	98.3104343768929	65.5	79.69	4.73	8.33	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	Casp-alpha2	Casp-alpha2 sp002938075	276	2241878	46485	10984	3789	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.43	3300	Bathypelagic	3523778.14318239	FALSE	2777	1855	1100	66.5853284702712	39.4845613570341	99.6805698986216	76.09	79.06	0.99	0	Bacteria	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	UBA1123		315	2785899	54059	11284	4410	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.45	3300	Bathypelagic	3590407.64914691	TRUE	2931	2220	1815	70.8020371851024	57.8854493202526	93.4778247700608	85.92	87.33	0.47	100	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	Marinobacter vinifirmus	336	3135503	75118	12442	4123	MP0532	6	13	Defense_System|Wadjet|Wadjet_I,Defense_System|PrrC|PrrC,Defense_System|RM|RM_Type_IV,Defense_System|AbiE|AbiE,Defense_System|AbiD|AbiD	Bin_S10.45_02910,Bin_S10.45_00482,Bin_S10.45_00792,Bin_S10.45_01067,Bin_S10.45_02821,Bin_S10.45_00793,Bin_S10.45_01152,Bin_S10.45_01149,Bin_S10.45_02909,Bin_S10.45_01148,Bin_S10.45_01150,Bin_S10.45_02907,Bin_S10.45_02908	1.91356857257033	0.443534629819174	set()	[]	0	0	0
Bin_S10.46	3300	Bathypelagic	2800419.38490214	TRUE	2217	1451	1119	60.3607501206383	46.5497445795963	92.2259014593075	75.43	85.84	3.47	0	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	DTWD01	DTWD01 sp012963185	352	2403880	31912	7918	3444	MP0532	0	0	NA	NA	0	0	{'MP0532_16766', 'MP0532_21129'}	['S10CMP0532_Scaffold_16766|0|3606', 'S10CMP0532_Scaffold_21129|0|3075']	2	6681	0.27792568680633
Bin_S10.47	3300	Bathypelagic	1047434.80322428	FALSE	780	450	424	67.9027994060769	63.9795265515035	117.6981856372	63.27	63.27	0	0	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus		119	662712	20044	6344	3085	MP0532	2	2	Defense_System|RM|RM_Type_I	Bin_S10.47_00551,Bin_S10.47_00550	3.01790219582564	0.256410256410256	{'MP0532_7576', 'MP0532_9437'}	['S10CMP0532_Scaffold_7576|0|6152', 'S10CMP0532_Scaffold_9437|0|5294']	2	11446	1.72714542667101
Bin_S10.50	3300	Bathypelagic	3273525.08650519	FALSE	2221	1682	1236	74.0800443247067	54.4369410138748	97.8191310613398	54.42	69.36	4.98	21.43	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Arenicellales	UBA868			329	2270517	40295	8512	3313	MP0532	0	0	NA	NA	0	0	{'MP0532_4279'}	['S10CMP0532_Scaffold_4279|0|8928']	1	8928	0.393214408876921
Bin_S10.51	3300	Bathypelagic	3173566.67970278	FALSE	2440	1591	1307	65.3537585394277	53.6878456386122	100.22826576757	70.56	76.71	2.05	80	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter_A	Erythrobacter_A flavus	384	2434443	41072	6999	3335	MP0532	3	7	Defense_System|RM|RM_Type_IIG,Defense_System|RM|RM_Type_IV,Defense_System|Retron|Retron_VI,Defense_System|RM|RM_Type_II	Bin_S10.51_00424,Bin_S10.51_00422,Bin_S10.51_00105,Bin_S10.51_00016,Bin_S10.51_00106,Bin_S10.51_00353,Bin_S10.51_00352	1.23231474304389	0.286885245901639	{'MP0532_8725', 'MP0532_27394'}	['S10CMP0532_Scaffold_8725|0|5574', 'S10CMP0532_Scaffold_27394|0|2564']	2	8138	0.334285912629706
Bin_S10.52	3300	Bathypelagic	3271703.24846356	TRUE	2433	1920	1383	73.60470211372	53.018386991289	93.2709584597296	76.01	79.73	1.24	33.33	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	UBA2165	GCA-2712665		408	2608529	40815	7647	3265	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.53	3300	Bathypelagic	1863577.44994731	FALSE	1080	869	790	81.8945247525966	74.449567956906	101.779156194251	55.59	56.94	0.45	30	Bacteria	Gammaproteobacteria	Gammaproteobacteria	SAR86	SAR86	AEGEAN-183		183	1061121	24997	6645	3047	MP0532	0	0	NA	NA	0	0	{'MP0532_25415'}	['S10CMP0532_Scaffold_25415|0|2707']	1	2707	0.255107570201702
Bin_S10.55	3300	Bathypelagic	4800140.88789783	FALSE	4132	3124	2301	65.9653588956841	48.5871609535753	87.2499561321917	93.62	98.66	1.68	0	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas_B	Alteromonas_B confluentis	34	4735819	484809	173830	72914	MP0532	12	20	Defense_System|dGTPase|dGTPase,Defense_System|RM|RM_Type_I,Defense_System|Shedu|Shedu,Defense_System|AVAST|AVAST_I,Defense_System|Hachiman|Hachiman,Defense_System|Lamassu-Fam|Lamassu-Fam,Defense_System|Gao_Ape|Gao_Ape,Defense_System|AbiJ|AbiJ,Defense_System|DRT|DRT8,Defense_System|SanaTA|SanaTA,Defense_System|AbiE|AbiE	Bin_S10.55_02394,Bin_S10.55_02704,Bin_S10.55_02009,Bin_S10.55_04094,Bin_S10.55_00185,Bin_S10.55_02702,Bin_S10.55_02701,Bin_S10.55_04095,Bin_S10.55_00183,Bin_S10.55_03001,Bin_S10.55_00663,Bin_S10.55_01612,Bin_S10.55_00184,Bin_S10.55_01519,Bin_S10.55_01523,Bin_S10.55_03000,Bin_S10.55_00662,Bin_S10.55_00187,Bin_S10.55_02008,Bin_S10.55_01611	2.53388062339376	0.484027105517909	set()	[]	0	0	0
Bin_S10.57	3300	Bathypelagic	3890719.67963387	FALSE	2947	2233	1806	65.6670261247721	53.110008589941	86.6640062649813	82.6	87.4	1.6	64.29	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica	481	3400489	32187	8301	3651	MP0532	2	1	Defense_System|CapRel|CapRel	Bin_S10.57_00118	0.588150704207542	0.0339328130302002	{'MP0532_17685'}	['S10CMP0532_Scaffold_17685|0|3481']	1	3481	0.102367630067323
Bin_S10.60	3300	Bathypelagic	3593521.21212121	FALSE	2821	2206	1748	74.4100072352432	58.9613293958319	95.1544108842344	80.01	82.5	0.83	66.67	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas aquamarina	364	2964655	86274	10634	3619	MP0532	4	13	Defense_System|Wadjet|Wadjet_I,Defense_System|Cas|CAS_Class1-Subtype-I-F,Defense_System|PD-T7-3|PD-T7-3	Bin_S10.60_01287,Bin_S10.60_02823,Bin_S10.60_01812,Bin_S10.60_01809,Bin_S10.60_01925,Bin_S10.60_01921,Bin_S10.60_01920,Bin_S10.60_01811,Bin_S10.60_01810,Bin_S10.60_01285,Bin_S10.60_01284,Bin_S10.60_01922,Bin_S10.60_01286	1.34922950562544	0.460829493087558	{'MP0532_25123', 'MP0532_981_fragment_1_1', 'MP0532_18136', 'MP0532_23774'}	['S10CMP0532_Scaffold_981|220|13028', 'S10CMP0532_Scaffold_25123|0|2729', 'S10CMP0532_Scaffold_23774|0|2833', 'S10CMP0532_Scaffold_18136|0|3424']	4	21794	0.735127696140023
Bin_S10.63	3300	Bathypelagic	2055737.73324119	FALSE	1118	898	820	75.4710003941637	68.9156128320871	93.960555056431	52.6	57.88	1.76	40	Bacteria	Gammaproteobacteria	Gammaproteobacteria	UBA11654	UBA11654	DTSX01	DTSX01 sp012965065	160	1189861	48533	8867	3507	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.66	3300	Bathypelagic	3650803.18619316	FALSE	2400	1402	1133	63.7280258766695	51.5006086435567	109.092198362344	58.67	60.26	0.53	50	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Alteriqipengyuania	Alteriqipengyuania bathyomarina	430	2199974	22468	5475	2967	MP0532	6	11	Defense_System|Dsr|Dsr_I,Defense_System|RM|RM_Type_IIG,Defense_System|RM|RM_Type_I,Defense_System|RloC|RloC,Defense_System|Shedu|Shedu,Defense_System|SanaTA|SanaTA	Bin_S10.66_00513,Bin_S10.66_00134,Bin_S10.66_02414,Bin_S10.66_02376,Bin_S10.66_00113,Bin_S10.66_02415,Bin_S10.66_02416,Bin_S10.66_02402,Bin_S10.66_01924,Bin_S10.66_00112,Bin_S10.66_02411	2.72730495905861	0.458333333333333	{'MP0532_9628_1', 'MP0532_4991', 'MP0532_28108', 'MP0532_11309', 'MP0532_20737', 'MP0532_2080', 'MP0532_14669', 'MP0532_16529', 'MP0532_17353', 'MP0532_1271'}	['S10CMP0532_Scaffold_9628|2835|5216', 'S10CMP0532_Scaffold_16529|0|3637', 'S10CMP0532_Scaffold_28108|0|2522', 'S10CMP0532_Scaffold_20737|0|3118', 'S10CMP0532_Scaffold_1271|0|18400', 'S10CMP0532_Scaffold_14669|0|3934', 'S10CMP0532_Scaffold_11309|0|4685', 'S10CMP0532_Scaffold_4991|0|8105', 'S10CMP0532_Scaffold_2080|0|13771', 'S10CMP0532_Scaffold_17353|0|3527']	10	64080	2.91276169627459
Bin_S10.68	3300	Bathypelagic	3055773.2308388	FALSE	2357	1777	1436	65.7384364906403	53.1234635906356	87.1949886372759	88.46	88.46	0	0	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp002082305	261	2703137	85459	15035	4465	MP0532	2	1	Defense_System|dGTPase|dGTPase	Bin_S10.68_00930	0.739881108504674	0.0424268137462877	set()	[]	0	0	0
Bin_S10.70	3300	Bathypelagic	2093725.80907465	FALSE	1093	727	625	56.4690018579622	48.54625331668	84.89768780021	61.1	61.49	0.13	100	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp012964125	246	1287432	40387	5771	2940	MP0532	0	0	NA	NA	0	0	{'MP0532_25756'}	['S10CMP0532_Scaffold_25756|0|2681']	1	2681	0.208244008227231
Bin_S10.77	3300	Bathypelagic	2333369.89349865	FALSE	1503	1079	884	73.5052179167436	60.2211423896212	102.389566755204	58.77	62.91	1.38	0	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1			265	1467923	22903	6051	3125	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.78	3300	Bathypelagic	3168640.62042728	FALSE	2100	1575	1327	72.7331837415705	61.2805935397232	96.9775783220939	66.12	68.34	0.74	0	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp002354605	437	2165449	21776	5179	2920	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.8	3300	Bathypelagic	1913881.78050099	TRUE	962	608	535	57.2497700122315	50.3760311785261	90.5826953154057	55.49	55.49	0	0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA1611	UBA1611	UBA1611 sp012964275	216	1062013	20242	5238	2933	MP0532	0	0	NA	NA	0	0	{'MP0532_6100', 'MP0532_17487', 'MP0532_19711'}	['S10CMP0532_Scaffold_6100|0|7126', 'S10CMP0532_Scaffold_17487|0|3508', 'S10CMP0532_Scaffold_19711|0|3230']	3	13864	1.30544541356838
Bin_S10.84	3300	Bathypelagic	3218319.95776135	TRUE	2878	2188	1826	71.7906888001604	59.9130702692381	94.4303484309239	92.12	94.7	0.86	0	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	Marinobacter persicus	113	3047749	141178	52535	14484	MP0532	10	33	Defense_System|RM|RM_Type_III,Defense_System|Wadjet|Wadjet_I,Defense_System|Gabija|Gabija,Defense_System|RM|RM_Type_IIG,Defense_System|RM|RM_Type_I,Defense_System|Septu|Septu,Defense_System|Rst_HelicaseDUF2290|Rst_HelicaseDUF2290,Defense_System|AbiJ|AbiJ,Defense_System|Cas|CAS_Class1-Subtype-I-E,Defense_System|AbiE|AbiE,Defense_System|Kiwa|Kiwa	Bin_S10.84_02714,Bin_S10.84_01152,Bin_S10.84_02607,Bin_S10.84_01151,Bin_S10.84_00099,Bin_S10.84_02757,Bin_S10.84_02608,Bin_S10.84_00095,Bin_S10.84_02703,Bin_S10.84_02899,Bin_S10.84_00102,Bin_S10.84_01895,Bin_S10.84_02897,Bin_S10.84_00101,Bin_S10.84_00473,Bin_S10.84_02901,Bin_S10.84_01013,Bin_S10.84_00606,Bin_S10.84_00096,Bin_S10.84_00605,Bin_S10.84_00607,Bin_S10.84_00608,Bin_S10.84_00100,Bin_S10.84_02702,Bin_S10.84_02756,Bin_S10.84_00474,Bin_S10.84_02713,Bin_S10.84_01010,Bin_S10.84_00098,Bin_S10.84_00097,Bin_S10.84_02764,Bin_S10.84_01011,Bin_S10.84_02900	3.28111009141501	1.14662960389159	{'MP0532_203', 'MP0532_180_fragment_1_1'}	['S10CMP0532_Scaffold_180|47984|52904', 'S10CMP0532_Scaffold_203|0|49239']	2	54159	1.77701641440945
